Name,Set,Types,Cost,Text,Actions,Cards,Buys,Coins,Trash,Exile,Junk,Gain,Victory
Followers,"Cornucopia & Guilds, 1E",Action - Attack - Prize,-0.1,+2 CardsGain an Estate. Each other player gains a Curse and discards down to 3 cards in hand.(This is not in the Supply.),,+2,,,,,1,1,(1 )
Housecarl,"Cornucopia & Guilds, 2E",Action - Reward,-0.1,+1 Card per differently named Action card you have in play.(This is not in the Supply.),,+X,,,,,,,
Huge Turnip,"Cornucopia & Guilds, 2E",Treasure - Reward,-0.1,+2 Coffers+ per Coffers you have.(This is not in the Supply.),,,,"+, +",,,,,
Princess,"Cornucopia & Guilds, 1E",Action - Prize,-0.1,"+1 BuyThis turn, cards cost  less.(This is not in the Supply.)",,,+1,R2,,,,,
Renown,"Cornucopia & Guilds, 2E",Action - Reward,-0.1,"+1 BuyThis turn, cards cost  less.(This is not in the Supply.)",,,+1,R2,,,,,
Trusty Steed,"Cornucopia & Guilds, 1E",Action - Prize,-0.1,Choose two: +2 Cards; or +2 Actions; or +; or gain 4 Silvers and put your deck into your discard pile. The choices must be different.(This is not in the Supply.),+2?,+2?,,+?,,,,4?,
Berserker,"Hinterlands, 2E",Action - Attack,5,"Gain a card costing less than this. Each other player discards down to 3 cards in hand.When you gain this, if you have an Action in play, play this.",*Pself,,,,,,,1,
Border Village,Hinterlands,Action,6,"+1 Card+2 ActionsWhen you gain this, gain a cheaper card.",+2,+1,,,,,,*1,
Cache,"Hinterlands, 1E",Treasure,5,"When you gain this, gain 2 Coppers.",,,,+,,,2Self,2,
Cartographer,Hinterlands,Action,5,"+1 Card+1 ActionLook at the top 4 cards of your deck. Discard any number of them, then put the rest back in any order.",+1,+1,,,,,,,
Cauldron,"Hinterlands, 2E",Treasure - Attack,5,"+1 BuyThe third time you gain an Action this turn, each other player gains a Curse.",,,+1,+,,,!1,,
Crossroads,Hinterlands,Action,2,"Reveal your hand. +1 Card per Victory card revealed. If this is the first time you played a Crossroads this turn, +3 Actions.",!+3,+X,,,,,,,
Develop,Hinterlands,Action,3,"Trash a card from your hand. Gain two cards onto your deck, with one costing exactly  more than it, and one costing exactly  less than it, in either order.",,,,,1,,,2,
Duchess,"Hinterlands, 1E",Action,2,"+Each player (including you) looks at the top card of their deck and may discard it.In games using this, when you gain a Duchy, you may gain a Duchess.",,,,+,,,,**Self,
Embassy,"Hinterlands, 1E",Action,5,"+5 CardsDiscard 3 cards.When you gain this, each other player gains a Silver.",,"+5, -3",,,,,,,
Farmland,Hinterlands,Victory,6,"2 When you gain this, trash a card from your hand and gain a non-Farmland card costing exactly  more than it.",,,,,*1,,,*1,2
Fool's Gold,Hinterlands,Treasure - Reaction,2,"If this is the first time you played a Fool's Gold this turn, +, otherwise +.When another player gains a Province, you may trash this from your hand, to gain a Gold onto your deck.",,,,"+, !+",**Self,,,**1,
Guard Dog,"Hinterlands, 2E",Action - Reaction,3,"+2 CardsIf you have 5 or fewer cards in hand, +2 Cards.When another player plays an Attack, you may first play this from your hand.",**Pself,"+2, !+2",,,,,,,
Haggler,Hinterlands,Action,5,"+This turn, when you gain a card, if you bought it, gain a cheaper non-Victory card.",,,,+,,,,X,
Highway,Hinterlands,Action,5,"+1 Card+1 ActionThis turn, cards cost  less.",+1,+1,,R1,,,,,
Ill-Gotten Gains,"Hinterlands, 1E",Treasure,5,"You may gain a Copper to your hand.When you gain this, each other player gains a Curse.",,(+1)?,,+,,,Self?*1,1?,
Inn,Hinterlands,Action,5,"+2 Cards+2 ActionsDiscard 2 cards.When you gain this, reveal any number of Action cards from your discard pile and shuffle them into your deck.",+2,"+2, -2",,,,,,,
Jack of All Trades,Hinterlands,Action,4,Gain a Silver. Look at the top card of your deck; you may discard it. Draw until you have 5 cards in hand. You may trash a non-Treasure card from your hand.,,=5,,,1?,,,1,
Mandarin,"Hinterlands, 1E",Action,5,"+Put a card from your hand onto your deck.When you gain this, put all Treasures you have in play onto your deck in any order.",,-1,,+,,,,,
Margrave,Hinterlands,Action - Attack,5,"+3 Cards+1 BuyEach other player draws a card, then discards down to 3 cards in hand.",,+3,+1,,,,,,
Noble Brigand,"Hinterlands, 1E",Action - Attack,4,"+Each other player reveals the top 2 cards of their deck, trashes a revealed Silver or Gold you choose, discards the rest, and gains a Copper if they didn't reveal a Treasure. You gain the trashed cards.When you buy this, do its attack.",,,,+,,,1?*1?,X*X,
Nomad Camp,"Hinterlands, 1E",Action,4,+1 Buy+This is gained onto your deck (instead of to your discard pile).,,,+1,+,,,,,
Nomads,"Hinterlands, 2E",Action,4,"+1 Buy+When you gain or trash this, +.",,,+1,+*+,,,,,
Oasis,Hinterlands,Action,3,+1 Card+1 Action+Discard a card.,+1,"+1, -1",,+,,,,,
Oracle,"Hinterlands, 1E",Action - Attack,3,"Each player (including you) reveals the top 2 cards of their deck, and discards them or puts them back, your choice (they choose the order). Then, +2 Cards.",,+2,,,,,,,
Scheme,Hinterlands,Action,3,"+1 Card+1 ActionThis turn, you may put one of your Action cards onto your deck when you discard it from play.",+1,+1,,,,,,,
Silk Road,"Hinterlands, 1E",Victory,4,Worth 1  for every 4 Victory cards you have (round down).,,,,,,,,,X
Souk,"Hinterlands, 2E",Action,5,"+1 Buy+– per card in your hand (you can't go below ).When you gain this, trash up to 2 cards from your hand.",,,+1,"+, -",*0-2?,,,,
Spice Merchant,Hinterlands,Action,4,You may trash a Treasure from your hand to choose one: +2 Cards and +1 Action; or +1 Buy and +.,!+1?,!+2?,!+1?,!+?,1?,,,,
Stables,Hinterlands,Action,5,"You may discard a Treasure, for +3 Cards and +1 Action.",!+1,"-1?, !+3",,,,,,,
Trader,Hinterlands,Action - Reaction,4,"Trash a card from your hand. Gain a Silver per  it costs.When you gain a card, you may reveal this from your hand, to exchange the card for a Silver.",,,,,1,,,X,
Trail,"Hinterlands, 2E",Action - Reaction,4,"+1 Card+1 ActionWhen you gain, trash, or discard this, other than in Clean-up, you may play it.",+1*Pself,+1,,,,,,,
Tunnel,Hinterlands,Victory - Reaction,3,"2 When you discard this other than during Clean-up, you may reveal it to gain a Gold.",,,,,,,,!1,2
Weaver,"Hinterlands, 2E",Action - Reaction,4,"Gain two Silvers or a card costing up to .When you discard this other than in Clean-up, you may play it.",*Pself,,,,,,,1-2?,
Wheelwright,"Hinterlands, 2E",Action,5,+1 Card+1 ActionYou may discard a card to gain an Action card costing as much as it or less.,+1,"+1, -1?",,,,,,!1,
Witch's Hut,"Hinterlands, 2E",Action - Attack,5,"+4 CardsDiscard 2 cards, revealed. If they're both Actions, each other player gains a Curse.",,"+4, -2",,,,,!1,,
Altar,Dark Ages,Action,6,Trash a card from your hand. Gain a card costing up to .,,,,,1,,,1,
Armory,Dark Ages,Action,4,Gain a card onto your deck costing up to .,,,,,,,,1,
Band of Misfits,Dark Ages,Action - Command,5,"Play a non-Command non-Duration Action card from the Supply that costs less than this, leaving it there.",(P1),,,,,,,,
Bandit Camp,Dark Ages,Action,5,+1 Card+2 ActionsGain a Spoils.,+2,+1,,,,,,1,
Beggar,Dark Ages,Action - Reaction,2,"Gain 3 Coppers to your hand.When another player plays an Attack card, you may first discard this to gain 2 Silvers, putting one onto your deck.",,(+3),,(+),,,3Self,3*2,
Catacombs,Dark Ages,Action,5,"Look at the top 3 cards of your deck. Choose one: Put them into your hand; or discard them and +3 Cards.When you trash this, gain a cheaper card.",,+3,,,,,,*1,
Count,Dark Ages,Action,5,Choose one: Discard 2 cards; or put a card from your hand onto your deck; or gain a Copper.Choose one: +; or trash your hand; or gain a Duchy.,,"-1?, -2?",,+?,X?,,Self?,"1?, 1?",(3 ?)
Counterfeit,Dark Ages,Treasure,5,+1 BuyYou may play a non-Duration Treasure from your hand twice. Trash it.,,,+1,"+, P2?",!1,,,,
Cultist,Dark Ages,Action - Attack - Looter,5,"+2 CardsEach other player gains a Ruins. You may play a Cultist from your hand.When you trash this, +3 Cards.",P1?,+2*+3,,,,,1,,
Dame Anna,Dark Ages,Action - Attack - Knight,5,"You may trash up to 2 cards from your hand. Each other player reveals the top 2 cards of their deck, trashes one of them costing from  to , and discards the rest. If a Knight is trashed by this, trash this.",,,,,"0-2?, !Self",,,,
Dame Josephine,Dark Ages,Action - Attack - Knight - Victory,5,"Each other player reveals the top 2 cards of their deck, trashes one of them costing from  to , and discards the rest. If a Knight is trashed by this, trash this.2",,,,,!Self,,,,2
Dame Molly,Dark Ages,Action - Attack - Knight,5,"+2 ActionsEach other player reveals the top 2 cards of their deck, trashes one of them costing from  to , and discards the rest. If a Knight is trashed by this, trash this.",+2,,,,!Self,,,,
Dame Natalie,Dark Ages,Action - Attack - Knight,5,"You may gain a card costing up to . Each other player reveals the top 2 cards of their deck, trashes one of them costing from  to , and discards the rest. If a Knight is trashed by this, trash this.",,,,,!Self,,,1?,
Dame Sylvia,Dark Ages,Action - Attack - Knight,5,"+Each other player reveals the top 2 cards of their deck, trashes one of them costing from  to , and discards the rest. If a Knight is trashed by this, trash this.",,,,+,!Self,,,,
Death Cart,Dark Ages,Action - Looter,4,"You may trash this or an Action card from your hand, for +.When you gain this, gain 2 Ruins.",,,,+,1 or Self?,,2Self,2,
Feodum,Dark Ages,Victory,4,"Worth 1  per 3 Silvers you have (round down).When you trash this, gain 3 Silvers.",,,,,,,,*3,X
Forager,Dark Ages,Action,3,"+1 Action+1 BuyTrash a card from your hand, then + per differently named Treasure in the trash.",+1,,+1,+,1,,,,
Fortress,Dark Ages,Action,4,"+1 Card+2 ActionsWhen you trash this, put it into your hand.",+2,+1*(+Self),,,,,,*(1),
Graverobber,Dark Ages,Action,5,"Choose one: Gain a card from the trash costing from  to , onto your deck; or trash an Action card from your hand and gain a card costing up to  more than it.",,,,,1?,,,1?,
Hermit,Dark Ages,Action,3,"Look through your discard pile. You may trash a non-Treasure from it or from your hand. Gain a card costing up to . At the end of your Buy phase this turn, if you didn't gain any cards in it, exchange this for a Madman.",,,,,"1?, !*Self",,,"1, !1",
Hunting Grounds,Dark Ages,Action,6,"+4 CardsWhen you trash this, gain a Duchy or 3 Estates.",,+4,,,,,,*1 or 3,*(3 )
Ironmonger,Dark Ages,Action,4,"+1 Card+1 ActionReveal the top card of your deck; you may discard it. Either way, if it is an…Action card, +1 ActionTreasure card, +Victory card, +1 Card","+1, !+1","+1, !+1",,!+,,,,,
Junk Dealer,Dark Ages,Action,5,+1 Card+1 Action+Trash a card from your hand.,+1,+1,,+,1,,,,
Marauder,Dark Ages,Action - Attack - Looter,4,Gain a Spoils. Each other player gains a Ruins.,,,,,,,1,1,
Market Square,Dark Ages,Action - Reaction,3,"+1 Card+1 Action+1 BuyWhen one of your cards is trashed, you may discard this from your hand to gain a Gold.",+1,+1,+1,,,,,*1,
Mystic,Dark Ages,Action,5,"+1 Action+Name a card, then reveal the top card of your deck. If you named it, put it into your hand.",+1,!+1,,+,,,,,
Pillage,Dark Ages,Action - Attack,5,"Trash this. If you did, gain 2 Spoils, and each other player with 5 or more cards in hand reveals their hand and discards a card that you choose.",,,,,Self,,,2,
Poor House,Dark Ages,Action,1,+Reveal your hand. – per Treasure card in your hand. (You can't go below .),,,,"+, -",,,,,
Procession,Dark Ages,Action,4,You may play a non-Duration Action card from your hand twice. Trash it. Gain an Action card costing exactly  more than it.,P2?,,,,!1,,,!1,
Rats,Dark Ages,Action,4,"+1 Card+1 ActionGain a Rats. Trash a card from your hand other than a Rats (or reveal a hand of all Rats).When you trash this, +1 Card.",+1,+1*1,,,1,,,1,
Rebuild,Dark Ages,Action,5,"+1 ActionName a card. Reveal cards from your deck until you reveal a Victory card you did not name. Discard the rest, trash the Victory card, and gain a Victory card costing up to  more than it.",+1,,,,1,,,1,
Rogue,Dark Ages,Action - Attack,5,"+If there are any cards in the trash costing from  to , gain one of them. Otherwise, each other player reveals the top 2 cards of their deck, trashes one of them costing from  to , and discards the rest.",,,,+,,,,!1,
Sage,Dark Ages,Action,3,+1 ActionReveal cards from the top of your deck until you reveal one costing  or more. Put that card into your hand and discard the rest.,+1,+1,,,,,,,
Scavenger,Dark Ages,Action,4,+You may put your deck into your discard pile. Put a card from your discard pile onto your deck.,,,,+,,,,,
Sir Bailey,Dark Ages,Action - Attack - Knight,5,"+1 Card+1 ActionEach other player reveals the top 2 cards of their deck, trashes one of them costing from  to , and discards the rest. If a Knight is trashed by this, trash this.",+1,+1,,,!Self,,,,
Sir Destry,Dark Ages,Action - Attack - Knight,5,"+2 CardsEach other player reveals the top 2 cards of their deck, trashes one of them costing from  to , and discards the rest. If a Knight is trashed by this, trash this.",,+2,,,!Self,,,,
Sir Martin,Dark Ages,Action - Attack - Knight,4,"+2 BuysEach other player reveals the top 2 cards of their deck, trashes one of them costing from  to , and discards the rest. If a Knight is trashed by this, trash this.",,,+2,,!Self,,,,
Sir Michael,Dark Ages,Action - Attack - Knight,5,"Each other player discards down to 3 cards in hand. Each other player reveals the top 2 cards of their deck, trashes one of them costing from  to , and discards the rest. If a Knight is trashed by this, trash this.",,,,,!Self,,,,
Sir Vander,Dark Ages,Action - Attack - Knight,5,"Each other player reveals the top 2 cards of their deck, trashes one of them costing from  to , and discards the rest. If a Knight is trashed by this, trash this.When you trash this, gain a Gold.",,,,,!Self,,,*1,
Squire,Dark Ages,Action,2,"+Choose one: +2 Actions; or +2 Buys; or gain a Silver.When you trash this, gain an Attack card.",+2?,,+2?,+,,,,1?*1,
Storeroom,Dark Ages,Action,3,"+1 BuyDiscard any number of cards, then draw that many. Then discard any number of cards for + each.",,"-Y, +Y, -X",+1,+,,,,,
Urchin,Dark Ages,Action - Attack,3,"+1 Card+1 ActionEach other player discards down to 4 cards in hand.When you play another Attack card with this in play, you may first trash this, to gain a Mercenary.",+1,+1,,,!Self?,,,!1,
Vagrant,Dark Ages,Action,2,"+1 Card+1 ActionReveal the top card of your deck. If it's a Curse, Ruins, Shelter, or Victory card, put it into your hand.",+1,"+1, !+1",,,,,,,
Wandering Minstrel,Dark Ages,Action,4,+1 Card+2 ActionsReveal the top 3 cards of your deck. Put the Action cards back in any order and discard the rest.,+2,+1,,,,,,,
Abandoned Mine,Dark Ages,Action - Ruins,0,+,,,,+,,,,,
Ruined Library,Dark Ages,Action - Ruins,0,+1 Card,,+1,,,,,,,
Ruined Market,Dark Ages,Action - Ruins,0,+1 Buy,,,+1,,,,,,
Ruined Village,Dark Ages,Action - Ruins,0,+1 Action,+1,,,,,,,,
Survivors,Dark Ages,Action - Ruins,0,Look at the top 2 cards of your deck. Discard them or put them back in any order.,,,,,,,,,
Hovel,Dark Ages,Reaction - Shelter,1,"When you gain a Victory card, you may trash this from your hand.",,,,,*Self,,,,
Madman,Dark Ages,Action,-0.1,"+2 ActionsReturn this to the Madman pile. If you do, +1 Card per card in your hand.(This is not in the Supply.)",+2,+X,,,Self,,,,
Mercenary,Dark Ages,Action - Attack,-0.1,"You may trash 2 cards from your hand. If you did, +2 Cards, +, and each other player discards down to 3 cards in hand.(This is not in the Supply.)",,!+2,,!+,2?,,,,
Necropolis,Dark Ages,Action - Shelter,1,+2 Actions,+2,,,,,,,,
Overgrown Estate,Dark Ages,Victory - Shelter,1,"0 When you trash this, +1 Card.",,*+1,,,,,,,
Spoils,Dark Ages,Treasure,-0.1,"When you play this, return it to the Spoils pile.(This is not in the Supply.)",,,,+,Self,,,,
Amulet,Adventures,Action - Duration,3,"Now and at the start of your next turn, choose one: +; or trash a card from your hand; or gain a Silver.",,,,"+?, N +?","1?, N 1?",,,"1?, N 1?",
Artificer,Adventures,Action,5,"+1 Card+1 Action+Discard any number of cards. You may gain a card onto your deck, costing exactly  per card discarded.",+1,"+1, -X",,+,,,,1?,
Bridge Troll,Adventures,Action - Duration - Attack,5,"Each other player takes their – token. On this turn and your next turn, cards cost  less. Now and at the start of your next turn: +1 Buy.",,,"+1, N +1","R1, N R1",,,,,
Caravan Guard,Adventures,Action - Duration - Reaction,3,"+1 Card+1 ActionAt the start of your next turn, +.When another player plays an Attack card, you may first play this from your hand.",+1**Pself,+1,,N +,,,,,
Coin of the Realm,Adventures,Treasure - Reserve,2,"Put this on your Tavern mat.After you play an Action card, you may call this, for +2 Actions.",C+2,,,+,,,,,
Distant Lands,Adventures,Action - Reserve - Victory,5,Put this on your Tavern mat.Worth 4  if on your Tavern mat at the end of the game (otherwise worth 0 ).,,,,,,,,,!4
Dungeon,Adventures,Action - Duration,3,"+1 ActionNow and at the start of your next turn: +2 Cards, then discard 2 cards.",+1,"+2, -2, N +2, N -2",,,,,,,
Duplicate,Adventures,Action - Reserve,4,"Put this on your Tavern mat.When you gain a card costing up to , you may call this, to gain a copy of that card.",,,,,,,,C1,
Gear,Adventures,Action - Duration,3,"+2 CardsSet aside up to 2 cards from your hand face down (under this). At the start of your next turn, put them into your hand.",,"+2, - 0-2?(X), N +X",,,,,,,
Giant,Adventures,Action - Attack,5,"Turn your Journey token over (it starts face up). Then if it's face down, +. If it's face up, +, and each other player reveals the top card of their deck, trashes it if it costs from  to , and otherwise discards it and gains a Curse.",,,,"+, !+",,,!1,,
Guide,Adventures,Action - Reserve,3,"+1 Card+1 ActionPut this on your Tavern mat.At the start of your turn, you may call this, to discard your hand and draw 5 cards.",+1,"+1, C-X?, !+5",,,,,,,
Haunted Woods,Adventures,Action - Duration - Attack,5,"At the start of your next turn: +3 Cards.Until then, when any other player gains a card they bought, they put their hand onto their deck in any order.",,N +3,,,,,,,
Hireling,Adventures,Action - Duration,6,At the start of each of your turns for the rest of the game: +1 Card.,,N... +1,,,,,,,
Lost City,Adventures,Action,5,"+2 Cards+2 ActionsWhen you gain this, each other player draws a card.",+2,+2,,,,,,,
Magpie,Adventures,Action,4,"+1 Card+1 ActionReveal the top card of your deck.  If it's a Treasure, put it into your hand. If it's an Action or Victory card, gain a Magpie.",+1,"+1, !+1",,,,,,!1,
Messenger,Adventures,Action,4,"+1 Buy+You may put your deck into your discard pile.When this is the first card you gain in your Buy phase, gain a card costing up to , and each other player gains a copy of it.",,,+1,+,,,,!1,
Miser,Adventures,Action,4,Choose one: Put a Copper from your hand onto your Tavern mat; or + per Copper on your Tavern mat.,,,,+?,1?,,,,
Page,Adventures,Action - Traveller,2,"+1 Card+1 ActionWhen you discard this from play, you may exchange it for a Treasure Hunter.",+1,+1,,,Self?,,,,
Peasant,Adventures,Action - Traveller,2,"+1 Buy+When you discard this from play, you may exchange it for a Soldier.",,,+1,+,Self?,,,,
Port,Adventures,Action,4,"+1 Card+2 ActionsWhen you gain this, gain another Port (that doesn't come with another).",+2,+1,,,,,,*1,
Ranger,Adventures,Action,4,"+1 BuyTurn your Journey token over (it starts face up). Then if it's face up, +5 Cards.",,!+5,+1,,,,,,
Ratcatcher,Adventures,Action - Reserve,2,"+1 Card+1 ActionPut this on your Tavern mat.At the start of your turn, you may call this to trash a card from your hand.",+1,+1,,,C1,,,,
Raze,Adventures,Action,2,+1 ActionTrash this or a card from your hand. Look at one card from the top of your deck per  the trashed card costs. Put one of them into your hand and discard the rest.,+1,!+1,,,1 or Self?,,,,
Relic,Adventures,Treasure - Attack,5,Each other player puts their –1 Card token on their deck.,,,,+,,,,,
Royal Carriage,Adventures,Action - Reserve,5,"+1 ActionPut this on your Tavern mat.After you play an Action card, if it's still in play, you may call this, to replay that Action.",+1C P1,,,,,,,,
Storyteller,Adventures,Action,5,"+1 ActionPlay up to 3 Treasures from your hand. Then +1 Card, and pay all of your  for +1 Card per  you paid.",+1,"+1, +X",,-,,,,,
Swamp Hag,Adventures,Action - Duration - Attack,5,"At the start of your next turn: +.Until then, when any other player gains a card they bought, they gain a Curse.",,,,N +,,,!1,,
Transmogrify,Adventures,Action - Reserve,4,"+1 ActionPut this on your Tavern mat.At the start of your turn, you may call this, to trash a card from your hand, and gain a card to your hand costing up to  more than it.",+1,C(+1),,,C1,,,C1,
Treasure Trove,Adventures,Treasure,5,Gain a Gold and a Copper.,,,,+,,,Self,2,
Wine Merchant,Adventures,Action - Reserve,5,"+1 Buy+Put this on your Tavern mat.At the end of your Buy phase, if you have at least  unspent, you may discard this from your Tavern mat.",,,+1,"+, C-?",,,,,
Champion,Adventures,Action - Duration,5.9,"+1 ActionFor the rest of the game, when another player plays an Attack, it doesn't affect you, and when you play an Action card, you first get +1 Action.(This is not in the Supply.)","+1, **+X",,,,,,,,
Disciple,Adventures,Action - Traveller,4.9,"You may play an Action card from your hand twice. Gain a copy of it.When you discard this from play, you may exchange it for a Teacher.(This is not in the Supply.)",P2?,,,,Self?,,,!1,
Fugitive,Adventures,Action - Traveller,3.9,"+2 Cards+1 ActionDiscard a card.When you discard this from play, you may exchange it for a Disciple.(This is not in the Supply.)",+1,"+2, -1",,,Self?,,,,
Hero,Adventures,Action - Traveller,4.9,"+Gain a Treasure.When you discard this from play, you may exchange it for a Champion.(This is not in the Supply.)",,,,+,Self?,,,1,
Soldier,Adventures,Action - Attack - Traveller,2.9,"++ per other Attack you have in play. Each other player with 4 or more cards in hand discards a card.When you discard this from play, you may exchange it for a Fugitive. (This is not in the Supply.)",,,,"+, +",Self?,,,,
Teacher,Adventures,Action - Reserve,5.9,"Put this on your Tavern mat.At the start of your turn, you may call this, to move your +1 Card, +1 Action, +1 Buy, or + token to an Action Supply pile you have no tokens on. (When you play a card from that pile, you first get that bonus.)(This is not in the Supply.)",C**+1?,C**+1?,C**+1?,C**+?,,,,,
Treasure Hunter,Adventures,Action - Traveller,2.9,"+1 Action+Gain a Silver per card the player to your right gained in their last turn.When you discard this from play, you may exchange it for a Warrior.(This is not in the Supply.)",+1,,,+,Self?,,,X,
Warrior,Adventures,Action - Attack - Traveller,3.9,"+2 CardsFor each Traveller you have in play (including this), each other player discards the top card of their deck and trashes it if it costs  or .When you discard this from play, you may exchange it for a Hero.(This is not in the Supply.)",,+2,,,Self?,,,,
Alms,Adventures,Event,0,"Once per turn: If you have no Treasures in play, gain a card costing up to .",,,,,,,,!1,
Ball,Adventures,Event,5,Take your – token. Gain 2 cards each costing up to .,,,,-,,,,2,
Bonfire,Adventures,Event,3,Trash up to 2 Coppers you have in play.,,,,,0-2?,,,,
Borrow,Adventures,Event,0,"Once per turn: +1 Buy. If your –1 Card token isn't on your deck, put it there and +.",,(N -1),+1,!+,,,,,
Expedition,Adventures,Event,3,Draw 2 extra cards for your next hand.,,(N +2),,,,,,,
Ferry,Adventures,Event,3,Move your – token to an Action Supply pile. (Cards from that pile cost  less on your turns.),,,,**R2,,,,,
Inheritance,Adventures,Event,7,"Once per game: Set aside a non-Command non-Duration Action card from the Supply costing up to . Move your Estate token to it. (During your turns, Estates are also Command Actions with ""Play the card with your Estate token, leaving it there."")",(P1),,,,,,,,
Lost Arts,Adventures,Event,6,"Move your +1 Action token to an Action Supply pile. (When you play a card from that pile, you first get +1 Action.)",**+1,,,,,,,,
Mission,Adventures,Event,4,"Take an extra turn after this one (but not a 3rd turn in a row), during which you can't buy cards.(You can still buy Events.)",,,,,,,,,
Pathfinding,Adventures,Event,8,"Move your +1 Card token to an Action Supply pile. (When you play a card from that pile, you first get +1 Card.)",,**+1,,,,,,,
Pilgrimage,Adventures,Event,4,"Once per turn: Turn your Journey token over (it starts face up); then if it's face up, choose up to 3 differently named cards you have in play and gain a copy of each.",,,,,,,,!0-3?,
Plan,Adventures,Event,3,"Move your Trashing token to an Action Supply pile. (When you gain a card from that pile, you may trash a card from your hand.)",,,,,**1?,,,,
Quest,Adventures,Event,0,"You may discard an Attack, two Curses, or six cards. If you do, gain a Gold.",,-X,,,,,,!1,
Raid,Adventures,Event,5,Gain a Silver per Silver you have in play. Each other player puts their –1 Card token on their deck.,,,,,,,,X,
Save,Adventures,Event,1,"Once per turn: +1 Buy. Set aside a card from your hand, and put it into your hand at end of turn (after drawing).",,"-1, (N +1)",+1,,,,,,
Scouting Party,Adventures,Event,2,+1 BuyLook at the top 5 cards of your deck. Discard 3 and put the rest back in any order.,,,+1,,,,,,
Seaway,Adventures,Event,5,"Gain an Action card costing up to . Move your +1 Buy token to its pile. (When you play a card from that pile, you first get +1 Buy.)",,,**+1,,,,,1,
Trade,Adventures,Event,5,Trash up to 2 cards from your hand. Gain a Silver per card you trashed.,,,,,0-2?,,,!0-2,
Training,Adventures,Event,6,"Move your + token to an Action Supply pile. (When you play a card from that pile, you first get +.)",,,,**+,,,,,
Travelling Fair,Adventures,Event,2,"+2 BuysWhen you gain a card this turn, you may put it onto your deck.",,,+2,,,,,,
Archive,Empires,Action - Duration,5,"+1 ActionSet aside the top 3 cards of your deck face down (you may look at them). Now and at the start of your next two turns, put one into your hand.",+1,"+1, N +1, NN +1",,,,,,,
Bustling Village,Empires,Action,5,+1 Card+3 ActionsYou may reveal a Settlers from your discard pile and put it into your hand.,+3,"+1, +1?",,,,,,,
Capital,Empires,Treasure,5,"+1 BuyWhen you discard this from play, +.",,,+1,"+, *+",,,,,
Catapult,Empires,Action - Attack,3,"+Trash a card from your hand. If it costs  or more, each other player gains a Curse. If it's a Treasure, each other player discards down to 3 cards in hand.",,,,+,1,,!1,,
Chariot Race,Empires,Action,3,"+1 Action+1 Card, revealing it. The player to your left reveals the top card of their deck. If your card costs more, + and +1 .",+1,+1,,!+,,,,,!+1
Charm,Empires,Treasure,5,"Choose one: +1 Buy and +; or the next time you gain a card this turn, you may also gain a differently named card with the same cost.",,,+1?,+?,,,,1?,
City Quarter,Empires,Action,208,+2 ActionsReveal your hand. +1 Card per Action card revealed.,+2,+X,,,,,,,
Crown,Empires,Action - Treasure,5,"If it's your Action phase, you may play an Action from your hand twice.If it's your Buy phase, you may play a Treasure from your hand twice.",!P2?,,,!P2?,,,,,
Crumbling Castle,Empires,Victory - Castle,4,"1 When you gain or trash this, +1  and gain a Silver.",,,,,,,,*1,1 *+1
Emporium,Empires,Action,5,"+1 Card+1 Action+When you gain this, if you have at least 5 Action cards in play, +2 .",+1,+1,,+,,,,,*+2
Encampment,Empires,Action,2,"+2 Cards+2 ActionsYou may reveal a Gold or Plunder from your hand. If you do not, set this aside, and return it to its pile at the start of Clean-up.",+2,+2,,,!Self,,,,
Enchantress,Empires,Action - Attack - Duration,3,"Until your next turn, the first time each other player plays an Action card on their turn, they get +1 Card and +1 Action instead of following its instructions.At the start of your next turn, +2 Cards",,N +2,,,,,,,
Engineer,Empires,Action,204,"Gain a card costing up to . You may trash this. If you do, gain a card costing up to .",,,,,Self?,,,"1, !1",
Farmers' Market,Empires,Action - Gathering,3,"+1 BuyIf there are 4  or more on the Farmers' Market pile, take them and trash this. Otherwise, add 1  to the pile and then + per 1  on the pile.",,,+1,!+ -,!Self,,,,!+4
Fortune,Empires,Treasure,216,"+1 BuyDouble your  if you haven't yet this turn.When you gain this, gain a Gold per Gladiator you have in play.",,,+1,!x2,,,,*X,
Forum,Empires,Action,5,"+3 Cards+1 ActionDiscard 2 cards.When you gain this, +1 Buy.",+1,"+3, -2",*+1,,,,,,
Gladiator,Empires,Action,3,"+Reveal a card from your hand. The player to your left may reveal a copy from their hand. If they don't, + and trash a Gladiator from its pile.",,,,"+, !+",!1 Supply,,,,
Grand Castle,Empires,Victory - Castle,9,"5 When you gain this, reveal your hand. +1  per Victory card in your hand and/or in play.",,,,,,,,,5 *+X
Groundskeeper,Empires,Action,5,"+1 Card+1 ActionThis turn, when you gain a Victory card, +1 .",+1,+1,,,,,,,+X
Haunted Castle,Empires,Victory - Castle,6,"2 When you gain this during your turn, gain a Gold, and each other player with 5 or more cards in hand puts 2 of them onto their deck.",,,,,,,,*1,2
Humble Castle,Empires,Treasure - Victory - Castle,3,Worth 1  per Castle you have.,,,,+,,,,,X
King's Castle,Empires,Victory - Castle,10,Worth 2  per Castle you have.,,,,,,,,,X
Legionary,Empires,Action - Attack,5,"+You may reveal a Gold from your hand. If you do, each other player discards down to 2 cards in hand, then draws a card.",,,,+,,,,,
